optimizer,seed,best_val_acc,Overall_Accuracy,Macro_F1,F1_Female,F1_Male,Precision_Female,Precision_Male,Recall_Female,Recall_Male,Worst_Subgroup,Worst_Accuracy,Best_Accuracy,Accuracy_Gap,EO_TPR_Range,EO_TPR_Std,EO_FPR_Range,EO_FPR_Std,Mean_ECE,swats_final_phase,swats_transition_epoch
SGD,3156,0.9052971352815724,0.9023187876574768,0.9019043451574922,0.895528217145089,0.9082804731698954,0.9027559055118111,0.9019407558733401,0.8884153428903526,0.9147099447513812,Black_Young,0.756198347107438,0.9720670391061452,0.21586869199870717,0.28924731182795704,0.09120426409065893,0.2613975576662144,0.07201094726117228,0.05410512305845835,N/A,
SGD,3446,0.9089284684996254,0.9010407157202849,0.9007739211247111,0.895628730984017,0.9059191112654053,0.8903139356814701,0.9108202443280977,0.9010073614877955,0.9010704419889503,White_Young,0.773955773955774,0.9645909645909646,0.19063519063519063,0.26872340425531926,0.07415112275838905,0.20913978494623658,0.06109217669685252,0.051521522733221005,N/A,
SGD,332,0.906334659058159,0.9031404053313858,0.9029759351861347,0.8989812434542511,0.9069706269180183,0.8839168695000936,0.9214323890967397,0.9145679969004262,0.8929558011049724,Black_Young,0.743801652892562,0.9597069597069596,0.21590530681439768,0.2601986249045073,0.0842435321168535,0.1967409948542024,0.05154225370715029,0.04879508263604561,N/A,
Adam,3156,0.9115222779410918,0.8988497352565273,0.8985433074236178,0.892967542503864,0.9041190723433715,0.8905587668593449,0.9063150589868147,0.8953893839597056,0.9019337016574586,Black_Young,0.7355371900826446,0.9664804469273744,0.23094325684472983,0.31595238095238076,0.10333572851392411,0.2808683853459974,0.07114642753273484,0.057527801006557314,N/A,
Adam,3446,0.9106576747939362,0.9060617126163958,0.905549078155736,0.8985907164679214,0.9125074398435506,0.914543630892678,0.8989780532752555,0.8831848120883379,0.926450276243094,Black_Young,0.7458677685950413,0.9720670391061452,0.2261992705111039,0.22290780141843958,0.06726743845338855,0.31177908113391983,0.08595642168068977,0.05235572222204614,N/A,
Adam,332,0.9050089342325206,0.9016797516888808,0.9013269459041655,0.8954267404602388,0.9072271513480921,0.8976056063850496,0.9052776345195118,0.8932584269662921,0.9091850828729282,Black_Young,0.75,0.9776536312849162,0.22765363128491622,0.20581560283687939,0.057240547461831166,0.299864314789688,0.07123026391328832,0.04123482830461695,N/A,
SWATS,3156,0.8989567122024325,0.8941026109183859,0.8934701836335317,0.8852621167161226,0.9016782505509409,0.9044058205335489,0.8856143856143857,0.8669120495931809,0.918335635359116,Black_Young,0.7231404958677686,0.9608938547486032,0.2377533588808346,0.18595238095238076,0.06190251415290644,0.3531769305962855,0.09063440072203169,0.048809145510332594,SGD,4.0
SWATS,3446,0.7682863565623379,0.7744203030856308,0.7740834167680852,0.7653594150602981,0.7828074184758723,0.7506053268765133,0.7973142345568487,0.7807051530414568,0.7688190607734806,Black_Old,0.6319444444444444,0.8435754189944135,0.21163097454996904,0.3695794392523365,0.11847231330347781,0.452991452991453,0.14240987418946213,0.08482592239503367,SGD,1.0
SWATS,332,0.9066805003170212,0.9033229870366989,0.9028264793359277,0.8958804444007471,0.9097725142711084,0.9095627869834298,0.8980656013456686,0.8826036419992251,0.9217886740331491,Black_Young,0.75,0.9621489621489622,0.21214896214896217,0.2459523809523808,0.07455753504490338,0.2513722126929674,0.06497661960257639,0.048291903131952967,ADAM,
